Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,,,,,,,
297,Eastern Michigan,MAC,0-0,-11.16,94.1,105.3,70.6,,,,,,,
243,Eastern Washington,BSky,0-0,-6.25,98.6,104.9,73.7,,,,,,,
211,Elon,CAA,0-0,-3.94,97.6,101.5,70.9,,,,,,,
171,Evansville,MVC,0-0,-0.58,101.4,102,67.1,,,,,,,
230,Fairfield,MAAC,0-0,-5.48,95.3,100.7,69.1,,,,,,,
325,Fairleigh Dickinson,NEC,0-0,-15.36,95.2,110.6,73.8,,,,,,,
309,FIU,CUSA,0-0,-12.87,93.1,106,75,,,,,,,
25,Florida,SEC,0-0,18.52,110.1,91.6,71.7,,,,,,,
285,Florida A&M,SWAC,0-0,-10,92.2,102.2,72.1,,,,,,,
194,Florida Atlantic,CUSA,0-0,-2.6,96.8,99.4,72.2,,,,,,,
208,Florida Gulf Coast,ASun,0-0,-3.81,97,100.8,73.4,,,,,,,
24,Florida St.,ACC,0-0,18.58,109.7,91.1,73.8,,,,,,,
245,Fordham,A10,0-0,-6.36,91.9,98.3,71,,,,,,,
131,Fresno St.,MWC,0-0,4.4,102.4,98,70.5,,,,,,,
118,Furman,SC,0-0,5.33,104.1,98.7,71.9,,,,,,,
217,Gardner Webb,BSth,0-0,-4.33,99.3,103.6,71.4,,,,,,,
212,George Mason,A10,0-0,-3.96,96.6,100.5,72.4,,,,,,,
214,George Washington,A10,0-0,-4.18,97.5,101.7,71.1,,,,,,,
76,Georgetown,BE,0-0,11.42,105.5,94.1,73.7,,,,,,,
159,Georgia,SEC,0-0,0.43,100.5,100,75.2,,,,,,,
263,Georgia Southern,SB,0-0,-7.93,93.5,101.4,71.2,,,,,,,
103,Georgia St.,SB,0-0,6.66,105.7,99,74,,,,,,,
54,Georgia Tech,ACC,0-0,14.06,106.8,92.7,71.7,,,,,,,
1,Gonzaga,WCC,0-0,31.49,120,88.6,75.9,,,,,,,
317,Grambling St.,SWAC,0-0,-14.21,89.9,104.1,73.7,,,,,,,
149,Grand Canyon,WAC,0-0,1.42,99,97.6,70,,,,,,,
307,Green Bay,Horz,0-0,-12.37,93.6,105.9,70.7,,,,,,,
318,Hampton,BSth,0-0,-14.38,93.2,107.6,74.2,,,,,,,
228,Hartford,AE,0-0,-5.18,96.4,101.6,71.4,,,,,,,
190,Harvard,Ivy,0-0,-2.32,99.7,102.1,71.9,,,,,,,
221,Hawaii,BW,0-0,-4.74,96.8,101.5,71.3,,,,,,,
274,High Point,BSth,0-0,-8.85,95,103.8,70.6,,,,,,,
168,Hofstra,CAA,0-0,-0.43,101.9,102.4,72.4,,,,,,,
322,Holy Cross,Pat,0-0,-14.82,94.4,109.2,72.8,,,,,,,
11,Houston,Amer,0-0,21.85,110.7,88.9,69.7,,,,,,,
