Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT
102,Louisiana Tech,CUSA,1-1,6.88,103.3,96.4,71.4
103,Ohio,MAC,1-0,6.88,106.0,99.1,71.7
104,New Mexico,WAC,1-0,6.85,102.4,95.6,68.1
105,Cincinnati,Amer,1-0,6.81,100.7,93.9,71.7
106,Western Kentucky,CUSA,1-1,6.76,103.3,96.5,71.6
107,Wake Forest,ACC,2-0,6.47,103.1,96.7,71.4
108,Iowa St.,B12,2-0,6.46,99.9,93.5,73.1
109,Santa Clara,WCC,2-0,6.43,104.1,97.7,71.0
110,Minnesota,B10,2-0,6.22,102.1,95.9,70.8
111,Marshall,CUSA,1-0,6.21,105.1,98.8,77.8
112,Temple,Amer,1-0,6.13,101.5,95.4,71.1
113,Toledo,MAC,1-0,5.88,106.9,101.1,70.6
114,Milwaukee,Horz,1-0,5.7,102.7,97.0,71.9
115,Wright St.,Horz,1-1,5.68,103.6,97.9,75.1
116,Weber St.,BSky,1-0,5.65,104.1,98.5,73.2
117,Fresno St.,MWC,2-0,5.33,102.7,97.4,69.2
118,Colgate,Pat,1-0,5.26,104.5,99.3,72.5
119,UC Irvine,BW,0-1,5.01,100.7,95.6,69.7
120,Wofford,SC,1-1,4.84,102.3,97.5,70.2
,,,,,,,
121,Miami OH,MAC,1-0,4.81,104.5,99.7,70.2
122,Akron,MAC,0-1,4.74,103.2,98.5,69.3
123,Massachusetts,A10,1-1,4.68,101.7,97.0,73.0
124,Murray St.,OVC,1-0,4.61,102.8,98.2,70.2
125,California,P12,0-1,4.61,99.6,95.0,69.1
126,Old Dominion,CUSA,1-0,4.42,100.0,95.6,69.7
127,North Dakota,Sum,2-0,4.28,102.9,98.6,67.6
128,Jacksonville St.,ASun,0-1,4.24,102.6,98.3,68.2
129,UNLV,MWC,1-0,4.16,101.1,97.0,71.0
130,Boston College,ACC,2-0,3.98,102.0,98.0,68.2
131,Pacific,WCC,1-1,3.97,100.6,96.6,68.4
132,Tulane,Amer,1-0,3.92,99.0,95.1,70.1
133,North Texas,CUSA,1-0,3.88,99.4,95.5,67.6
134,Northern Kentucky,Horz,1-1,3.75,103.5,99.7,69.0
135,Washington,P12,1-1,3.71,98.8,95.1,74.6
136,Southern Utah,BSky,1-1,3.63,104.1,100.5,72.6
137,Southern Illinois,MVC,1-1,3.31,101.2,97.9,68.6
138,Stephen F.,WAC,2-0,3.29,100.4,97.1,72.3
139,DePaul,BE,1-0,3.22,99.6,96.4,72.7
140,Tulsa,Amer,1-0,3.16,100.6,97.5,69.7
141,Chattanooga,SC,1-0,3.08,102.6,99.6,68.6
142,Rice,CUSA,1-1,3.03,105.1,102.0,71.5
143,Northern Iowa,MVC,0-2,2.99,100.8,97.8,69.8
144,East Tennessee,SC,0-1,2.96,102.8,99.8,69.4
145,Kent St.,MAC,0-1,2.79,101.3,98.5,71.2
146,Grand Canyon,WAC,2-0,2.64,98.8,96.2,67.0
147,UC Riverside,BW,1-1,2.22,99.0,96.8,68.9
148,Yale,Ivy,2-0,2.0,104.5,102.5,71.7
149,Montana,BSky,1-0,1.78,101.3,99.5,69.6
150,Bowling Green,MAC,1-1,1.72,102.0,100.3,72.7
151,Cleveland St.,Horz,0-1,1.42,101.2,99.8,68.6
152,Wyoming,MWC,1-0,1.29,102.4,101.2,70.3
153,Princeton,Ivy,2-0,1.11,102.0,100.9,68.1
154,Iona,MAAC,1-0,1.07,98.1,97.1,70.4
155,Louisiana,SB,2-0,1.04,98.0,96.9,74.5
156,San Diego,WCC,2-0,0.89,100.7,99.8,71.1
157,UTEP,CUSA,1-0,0.87,98.1,97.3,71.3
158,Texas St.,SB,1-1,0.8,99.7,98.9,66.1
159,Winthrop,BSth,1-0,0.71,99.9,99.2,73.4
160,Hofstra,CAA,0-1,0.68,102.8,102.2,70.3
,,,,,,,
161,Pepperdine,WCC,1-1,0.58,100.0,99.5,74.1
162,UNC Greensboro,SC,2-0,0.42,97.6,97.2,67.1
163,Delaware,CAA,0-1,0.19,101.1,100.9,70.2
164,Montana St.,BSky,0-1,0.12,101.7,101.6,70.8
165,Saint Peter,MAAC,0-1,0.07,93.8,93.8,69.9
166,Oakland,Horz,1-1,0.07,98.8,98.7,70.7
167,Georgia,SEC,1-0,-0.0,98.9,98.9,71.8
168,Abilene Christian,WAC,0-2,-0.03,97.4,97.4,70.2
169,Pittsburgh,ACC,0-2,-0.19,98.6,98.8,69.0
170,South Florida,Amer,1-0,-0.31,97.0,97.3,69.6
171,East Carolina,Amer,2-0,-0.38,97.5,97.9,72.5
172,Morehead St.,OVC,0-2,-0.4,99.3,99.7,69.1
173,Northeastern,CAA,0-2,-0.58,98.9,99.4,68.4
174,Oral Roberts,Sum,1-1,-0.59,103.6,104.2,73.3
175,Navy,Pat,1-1,-0.67,98.7,99.4,68.8
176,Mercer,SC,0-1,-0.72,100.9,101.6,70.2
177,Campbell,BSth,2-0,-0.76,101.3,102.1,67.8
178,George Mason,A10,2-0,-0.8,97.4,98.2,71.5
179,Duquesne,A10,1-0,-0.84,97.6,98.4,70.1
180,Evansville,MVC,1-1,-1.12,98.7,99.8,65.5
181,Appalachian St.,SB,1-1,-1.14,98.4,99.6,67.6
182,Wagner,NEC,1-0,-1.14,101.0,102.1,69.0
183,Drexel,CAA,1-0,-1.27,101.8,103.1,69.1
184,Bradley,MVC,0-1,-1.32,97.8,99.1,71.3
185,James Madison,CAA,1-0,-1.5,100.3,101.8,73.8
186,Bellarmine,ASun,0-1,-1.55,103.5,105.1,68.8
187,Northern Colorado,BSky,2-0,-1.74,101.4,103.1,71.7
188,Idaho St.,BSky,1-1,-2.0,96.9,98.9,68.6
189,South Dakota,Sum,1-0,-2.11,99.0,101.2,71.5
190,Indiana St.,MVC,1-1,-2.13,99.7,101.9,72.2
191,Arkansas St.,SB,1-1,-2.22,100.4,102.6,71.8
192,UC Davis,BW,2-0,-2.23,97.8,100.0,74.0
193,Harvard,Ivy,1-0,-2.29,99.5,101.8,70.8
194,Sam Houston,WAC,1-1,-2.49,96.6,99.1,72.0
195,Boston University,Pat,1-1,-2.6,99.0,101.6,69.9
196,The Citadel,SC,2-0,-2.77,100.8,103.5,75.0
197,George Washington,A10,1-1,-3.17,97.0,100.2,71.9
198,Merrimack,NEC,2-0,-3.29,94.6,97.9,69.3
199,Stetson,ASun,1-1,-3.34,99.0,102.4,71.0
200,Florida Atlantic,CUSA,0-1,-3.43,98.0,101.4,72.5
,,,,,,,
201,Elon,CAA,1-1,-3.44,97.6,101.0,69.4
202,Charlotte,CUSA,2-0,-3.47,97.3,100.8,66.2
203,Stony Brook,AE,0-1,-3.56,97.9,101.4,69.9
204,Cal Baptist,WAC,1-0,-3.6,101.8,105.4,72.5
205,Nicholls St.,Slnd,2-0,-3.67,97.6,101.3,71.8
206,Florida Gulf,ASun,1-0,-3.76,96.7,100.5,72.3
207,Seattle,WAC,1-1,-3.8,98.5,102.3,70.6
208,La Salle,A10,0-1,-3.92,97.7,101.6,72.3
209,Gardner Webb,BSth,0-1,-3.95,98.1,102.0,70.7
210,Illinois St.,MVC,1-1,-4.02,96.7,100.7,71.7
211,Bryant,NEC,1-1,-4.06,99.1,103.2,74.4
212,Cal St.,BW,0-1,-4.07,97.6,101.7,70.1
213,Cal St.,BW,0-2,-4.11,102.0,106.1,71.0
214,New Hampshire,AE,1-1,-4.21,96.4,100.6,69.4
215,Towson,CAA,1-0,-4.23,98.8,103.0,68.9
216,Portland St.,BSky,1-1,-4.33,96.5,100.9,72.7
217,Tarleton St.,WAC,0-2,-4.33,96.8,101.1,66.6
218,Eastern Kentucky,ASun,2-0,-4.42,97.4,101.8,76.6
219,Southern Miss,CUSA,1-1,-4.51,93.9,98.4,71.1
220,Western Illinois,Sum,2-0,-4.52,98.4,102.9,73.5
221,Niagara,MAAC,0-2,-4.58,96.9,101.5,69.5
222,Fairfield,MAAC,0-1,-4.65,95.6,100.2,69.9
223,Prairie View,SWAC,0-2,-4.67,97.0,101.7,73.4
224,Coastal Carolina,SB,1-0,-5.01,96.5,101.5,73.2
225,Texas Southern,SWAC,0-2,-5.06,97.0,102.0,72.3
226,Lipscomb,ASun,1-1,-5.11,99.2,104.3,71.6
227,Hawaii,BW,1-1,-5.14,96.9,102.0,70.9
228,Saint Joseph,A10,1-0,-5.22,96.6,101.8,74.3
229,Utah Valley,WAC,1-1,-5.29,96.7,102.0,71.8
230,UMBC,AE,0-1,-5.3,95.3,100.6,72.0
231,Monmouth,MAAC,0-1,-5.32,94.7,100.0,74.4
232,Charleston,CAA,2-0,-5.32,97.7,103.0,77.6
233,Quinnipiac,MAAC,1-1,-5.39,96.1,101.5,73.5
234,Brown,Ivy,1-1,-5.54,95.4,100.9,72.0
235,Troy,SB,1-0,-5.59,94.9,100.5,72.0
236,VMI,SC,1-1,-5.73,100.4,106.1,70.4
237,Detroit Mercy,Horz,0-1,-5.81,101.4,107.2,69.7
238,Purdue Fort,Horz,1-0,-5.95,100.2,106.1,72.7
239,Southeast Missouri,OVC,1-0,-5.95,98.5,104.5,72.5
240,St.,NEC,0-1,-5.97,97.6,103.5,72.6
,,,,,,,
241,North Carolina,BSth,0-1,-6.03,94.1,100.1,72.8
242,North Florida,ASun,0-3,-6.07,99.6,105.6,71.1
243,Hartford,AE,0-2,-6.08,96.0,102.0,69.7
244,Penn,Ivy,0-2,-6.08,99.8,105.9,73.2
245,Eastern Washington,BSky,0-2,-6.15,98.4,104.6,74.6
246,Valparaiso,MVC,0-1,-6.17,95.7,101.9,69.7
247,Rider,MAAC,1-1,-6.5,98.4,104.9,69.3
248,Canisius,MAAC,0-2,-6.6,96.3,102.9,73.6
249,Marist,MAAC,1-1,-6.64,94.8,101.4,68.0
250,Army,Pat,1-1,-6.68,94.7,101.4,72.8
251,Fordham,A10,1-1,-6.72,91.5,98.2,71.0
252,Manhattan,MAAC,2-0,-6.76,91.9,98.7,71.5
253,Samford,SC,2-0,-6.83,95.3,102.1,74.4
254,Morgan St.,MEAC,2-0,-6.91,96.5,103.4,73.2
255,American,Pat,2-0,-6.91,93.4,100.3,71.6
256,Longwood,BSth,1-1,-7.03,94.7,101.8,69.9
257,Georgia Southern,SB,1-0,-7.1,94.4,101.5,69.9
258,UTSA,CUSA,1-1,-7.14,96.5,103.6,74.3
259,Lehigh,Pat,0-1,-7.3,95.8,103.1,72.8
260,Sacred Heart,NEC,1-1,-7.34,98.4,105.7,70.8
261,UMKC,Sum,0-2,-7.37,93.9,101.3,67.4
262,Illinois Chicago,Horz,0-1,-7.5,95.8,103.3,69.5
263,UC San,BW,1-0,-7.54,98.4,105.9,72.7
264,Presbyterian,BSth,1-1,-7.59,95.4,102.9,67.7
265,Radford,BSth,1-1,-7.68,95.6,103.3,69.2
266,Louisiana Monroe,SB,0-2,-8.06,94.8,102.8,70.9
267,Ball St.,MAC,0-1,-8.1,95.7,103.8,72.8
268,South Alabama,SB,1-0,-8.14,95.8,103.9,70.4
269,Siena,MAAC,0-1,-8.57,93.7,102.2,68.7
270,UT Arlington,SB,0-1,-8.69,92.6,101.3,71.6
271,Howard,MEAC,2-0,-8.76,97.1,105.9,72.3
272,LIU,NEC,0-2,-8.83,94.0,102.8,74.2
273,Lamar,WAC,1-0,-8.87,94.8,103.7,72.3
274,UMass Lowell,AE,1-0,-8.89,95.5,104.4,72.4
275,UNC Asheville,BSth,1-1,-8.9,97.9,106.8,71.0
276,Cornell,Ivy,2-0,-8.91,95.4,104.4,73.1
277,UNC Wilmington,CAA,1-1,-8.96,98.0,107.0,71.0
278,Eastern Michigan,MAC,1-1,-8.98,94.7,103.7,71.8
279,Kennesaw St.,ASun,0-2,-9.01,92.1,101.1,72.2
280,Jackson St.,SWAC,0-2,-9.14,88.5,97.7,70.2
,,,,,,,
281,New Mexico,MWC,1-0,-9.26,95.0,104.3,72.5
282,Florida A,SWAC,0-1,-9.32,91.9,101.2,70.9
283,Middle Tennessee,CUSA,2-0,-9.42,93.4,102.9,70.2
284,Loyola MD,Pat,1-1,-9.62,94.1,103.8,71.6
285,Robert Morris,Horz,0-2,-9.65,96.1,105.8,70.4
286,High Point,BSth,1-1,-9.71,94.9,104.6,69.1
287,Jacksonville,ASun,1-0,-9.81,94.3,104.1,71.2
288,William,CAA,0-2,-10.0,94.6,104.6,72.0
289,Dartmouth,Ivy,0-1,-10.1,92.8,102.9,69.1
290,Youngstown St.,Horz,0-1,-10.23,97.1,107.3,69.3
291,Little Rock,SB,2-0,-10.4,93.7,104.1,71.7
292,Mount St.,NEC,1-1,-10.42,92.7,103.1,66.5
293,Cal St.,BW,0-1,-10.48,95.4,105.9,71.9
294,Long Beach,BW,1-0,-10.54,93.7,104.3,75.4
295,NJIT,AE,0-1,-10.92,91.3,102.3,71.0
296,Tennessee Tech,OVC,0-1,-10.99,94.7,105.7,71.2
297,Western Carolina,SC,1-1,-11.05,93.4,104.5,73.2
298,Dixie St.,WAC,1-1,-11.11,94.4,105.5,74.8
299,Central Michigan,MAC,0-1,-11.31,95.2,106.5,71.7
300,Cal Poly,BW,1-1,-11.59,92.3,103.8,69.3
301,Albany,AE,0-1,-11.65,90.8,102.4,71.4
302,Bucknell,Pat,0-1,-11.71,94.1,105.8,73.6
303,Lafayette,Pat,0-2,-11.72,96.3,108.0,72.5
304,Air Force,MWC,0-1,-11.72,93.2,104.9,66.1
305,North Alabama,ASun,0-1,-11.98,92.5,104.5,72.3
306,Southeastern Louisiana,Slnd,1-1,-12.03,93.7,105.8,71.4
307,Norfolk St.,MEAC,2-0,-12.13,91.9,104.0,70.9
308,FIU,CUSA,1-1,-12.36,92.0,104.4,71.7
309,Sacramento St.,BSky,1-0,-12.54,94.1,106.6,70.4
310,UT Rio,WAC,1-1,-12.72,91.2,103.9,72.3
311,Austin Peay,OVC,1-1,-12.91,94.2,107.1,69.4
312,Green Bay,Horz,0-2,-13.17,93.1,106.2,69.5
313,Northern Illinois,MAC,1-1,-13.17,91.6,104.8,71.3
314,Southern,SWAC,0-1,-13.35,89.6,103.0,72.9
315,Tennessee St.,OVC,0-1,-13.82,92.3,106.1,73.1
316,Western Michigan,MAC,1-1,-13.84,93.7,107.5,69.8
317,Hampton,BSth,1-0,-14.35,93.0,107.3,73.1
